,date,high
948,2016-10-06,31.63
949,2016-10-07,31.6
950,2016-10-10,31.68
951,2016-10-11,31.53
952,2016-10-12,30.63
953,2016-10-13,30.25
954,2016-10-14,30.55
955,2016-10-17,30.42
956,2016-10-18,30.69
957,2016-10-19,30.45
958,2016-10-20,30.3736
959,2016-10-21,30.2
960,2016-10-24,30.5
961,2016-10-25,30.51
962,2016-10-26,30.86
963,2016-10-27,30.67
964,2016-10-28,30.8
965,2016-10-31,30.77
966,2016-11-01,30.86
967,2016-11-02,30.68
968,2016-11-03,30.56
969,2016-11-04,30.495
970,2016-11-07,31.06
971,2016-11-08,31.195
972,2016-11-09,31.49
973,2016-11-10,31.76
974,2016-11-11,31.47
975,2016-11-14,31.67
976,2016-11-15,31.85
977,2016-11-16,31.89
978,2016-11-17,30.05
979,2016-11-18,30.36
980,2016-11-21,30.33
981,2016-11-22,30.19
982,2016-11-23,29.95
983,2016-11-25,30.145
984,2016-11-28,30.09
985,2016-11-29,30.1
986,2016-11-30,29.95
987,2016-12-01,29.85
988,2016-12-02,29.56
989,2016-12-05,29.6
990,2016-12-06,29.59
991,2016-12-07,30.04
992,2016-12-08,30.33
993,2016-12-09,30.07
994,2016-12-12,30.2
995,2016-12-13,30.64
996,2016-12-14,31.065
997,2016-12-15,30.8
998,2016-12-16,30.72
999,2016-12-19,30.87
1000,2016-12-20,30.87
1001,2016-12-21,30.69
1002,2016-12-22,30.48
1003,2016-12-23,30.6
1004,2016-12-27,30.82
1005,2016-12-28,30.77
1006,2016-12-29,30.55
1007,2016-12-30,30.6
1008,2017-01-03,30.56
1009,2017-01-04,30.42
1010,2017-01-05,30.355
1011,2017-01-06,30.35
1012,2017-01-09,30.33
1013,2017-01-10,30.55
1014,2017-01-11,30.41
1015,2017-01-12,30.155
1016,2017-01-13,30.22
1017,2017-01-17,30.25
1018,2017-01-18,30.18
1019,2017-01-19,30.19
1020,2017-01-20,30.25
1021,2017-01-23,30.3
1022,2017-01-24,30.75
1023,2017-01-25,31.05
1024,2017-01-26,30.84
1025,2017-01-27,30.98
