date,high
2016-10-06,135.0
2016-10-07,134.66
2016-10-10,136.87
2016-10-11,135.69
2016-10-12,134.28
2016-10-13,133.93
2016-10-14,135.25
2016-10-17,135.38
2016-10-18,135.74
2016-10-19,136.95
2016-10-20,136.75
2016-10-21,136.19
2016-10-24,138.88
2016-10-25,139.42
2016-10-26,146.19
2016-10-27,146.23
2016-10-28,144.0
2016-10-31,143.35
2016-11-01,143.9
2016-11-02,142.87
2016-11-03,140.895
2016-11-04,140.85
2016-11-07,143.1
2016-11-08,143.31
2016-11-09,145.85
2016-11-10,149.34
2016-11-11,148.6
2016-11-14,150.09
2016-11-15,149.45
2016-11-16,148.41
2016-11-17,147.12
2016-11-18,146.6
2016-11-21,148.49
2016-11-22,149.76
2016-11-23,150.81
2016-11-25,150.15
2016-11-28,150.09
2016-11-29,152.11
2016-11-30,153.08
2016-12-01,152.69
2016-12-02,152.49
2016-12-05,153.75
2016-12-06,152.64
2016-12-07,154.31
2016-12-08,155.97
2016-12-09,156.875
2016-12-12,158.0
2016-12-13,160.07
2016-12-14,156.37
2016-12-15,155.24
2016-12-16,156.0
2016-12-19,157.1
2016-12-20,157.89
2016-12-21,158.5
2016-12-22,158.99
2016-12-23,158.27
2016-12-27,158.48
2016-12-28,157.35
2016-12-29,156.75
2016-12-30,156.79
