date,high
2016-10-06,38.16
2016-10-07,38.22
2016-10-10,38.36
2016-10-11,38.0
2016-10-12,37.25
2016-10-13,37.13
2016-10-14,37.7
2016-10-17,37.7162
2016-10-18,38.05
2016-10-19,36.09
2016-10-20,35.67
2016-10-21,35.4
2016-10-24,35.49
2016-10-25,35.25
2016-10-26,35.205
2016-10-27,35.23
2016-10-28,35.17
2016-10-31,35.08
2016-11-01,35.16
2016-11-02,34.9
2016-11-03,34.52
2016-11-04,33.93
2016-11-07,34.75
2016-11-08,34.95
2016-11-09,34.85
2016-11-10,34.95
2016-11-11,34.87
2016-11-14,34.73
2016-11-15,35.29
2016-11-16,34.92
2016-11-17,35.02
2016-11-18,35.0
2016-11-21,35.2
2016-11-22,35.5
2016-11-23,35.52
2016-11-25,35.45
2016-11-28,35.66
2016-11-29,35.64
2016-11-30,35.3
2016-12-01,34.93
2016-12-02,34.26
2016-12-05,34.42
2016-12-06,34.75
2016-12-07,35.57
2016-12-08,36.03
2016-12-09,35.9
2016-12-12,36.09
2016-12-13,36.89
2016-12-14,36.89
2016-12-15,37.16
2016-12-16,36.87
2016-12-19,36.95
2016-12-20,37.24
2016-12-21,37.345
2016-12-22,37.24
2016-12-23,36.98
2016-12-27,37.33
2016-12-28,37.2
2016-12-29,36.72
2016-12-30,36.8
