date,high
2017-01-03,157.14
2017-01-04,159.2299
2017-01-05,159.7
2017-01-06,159.66
2017-01-09,159.24
2017-01-10,159.94
2017-01-11,159.7
2017-01-12,159.16
2017-01-13,159.58
2017-01-17,159.04
2017-01-18,159.05
2017-01-19,159.87
2017-01-20,160.3
2017-01-23,159.5
2017-01-24,160.93
2017-01-25,168.65
2017-01-26,170.0
2017-01-27,169.8
2017-01-30,165.99
2017-01-31,165.1
2017-02-01,165.81
2017-02-02,163.97
2017-02-03,163.56
2017-02-06,164.08
2017-02-07,167.4199
2017-02-08,165.24
2017-02-09,165.086
2017-02-10,166.45
2017-02-13,169.07
2017-02-14,168.8
2017-02-15,169.95
2017-02-16,170.81
2017-02-17,173.25
2017-02-21,176.17
2017-02-22,175.75
2017-02-23,177.0
2017-02-24,178.8
2017-02-27,179.8839
2017-02-28,181.93
2017-03-01,184.8
2017-03-02,185.71
2017-03-03,183.58
2017-03-06,182.3
2017-03-07,182.84
2017-03-08,182.694
2017-03-09,182.59
2017-03-10,181.97
2017-03-13,179.19
2017-03-14,179.69
2017-03-15,179.24
2017-03-16,180.0
2017-03-17,180.3835
2017-03-20,180.15
2017-03-21,180.25
2017-03-22,177.1
2017-03-23,177.85
2017-03-24,177.53
2017-03-27,176.44
2017-03-28,177.683
2017-03-29,177.99
2017-03-30,178.49
2017-03-31,178.18
2017-04-03,177.73
2017-04-04,178.79
2017-04-05,180.18
2017-04-06,178.22
2017-04-07,179.09
2017-04-10,179.97
2017-04-11,178.6
2017-04-12,178.25
2017-04-13,176.88
2017-04-17,179.08
2017-04-18,179.97
2017-04-19,179.9
2017-04-20,179.82
2017-04-21,180.93
2017-04-24,182.46
2017-04-25,183.85
2017-04-26,183.0
2017-04-27,183.76
2017-04-28,184.93
2017-05-01,184.485
2017-05-02,183.91
2017-05-03,183.75
2017-05-04,184.25
2017-05-05,185.07
2017-05-08,186.39
2017-05-09,187.205
2017-05-10,185.65
2017-05-11,184.33
2017-05-12,183.98
2017-05-15,184.11
2017-05-16,183.15
2017-05-17,181.52
2017-05-18,178.5
2017-05-19,181.42
2017-05-22,185.32
2017-05-23,184.46
2017-05-24,185.4
2017-05-25,187.42
2017-05-26,187.605
2017-05-30,187.42
2017-05-31,188.26
2017-06-01,187.91
2017-06-02,191.7
2017-06-05,190.74
2017-06-06,188.86
2017-06-07,188.54
2017-06-08,191.07
2017-06-09,190.99
2017-06-12,190.53
2017-06-13,191.56
2017-06-14,193.38
2017-06-15,195.55
2017-06-16,197.95
2017-06-19,199.47
2017-06-20,201.24
2017-06-21,199.71
2017-06-22,200.409
2017-06-23,202.35
2017-06-26,204.39
2017-06-27,200.92
2017-06-28,200.95
2017-06-29,199.755
2017-06-30,199.44
2017-07-03,199.44
2017-07-05,202.14
2017-07-06,202.49
2017-07-07,203.28
2017-07-10,204.58
2017-07-11,206.66
2017-07-12,208.61
2017-07-13,207.0
2017-07-14,208.73
2017-07-17,209.72
2017-07-18,209.19
2017-07-19,210.93
2017-07-20,211.25
2017-07-21,212.2014
2017-07-24,212.64
2017-07-25,214.0
2017-07-26,233.98
2017-07-27,242.68
2017-07-28,242.0
2017-07-31,246.49
2017-08-01,243.991
2017-08-02,241.56
2017-08-03,239.59
2017-08-04,239.73
2017-08-07,241.43
2017-08-08,240.52
2017-08-09,238.7
2017-08-10,236.16
2017-08-11,235.4
2017-08-14,237.48
2017-08-15,239.64
2017-08-16,240.26
2017-08-17,237.6
2017-08-18,237.26
2017-08-21,236.94
2017-08-22,239.89
2017-08-23,239.36
2017-08-24,238.9
2017-08-25,239.09
2017-08-28,237.5547
2017-08-29,241.17
2017-08-30,241.44
2017-08-31,241.1
2017-09-01,242.53
2017-09-05,240.36
2017-09-06,237.8564
2017-09-07,236.54
2017-09-08,239.39
2017-09-11,241.85
2017-09-12,241.7074
2017-09-13,243.48
2017-09-14,245.61
2017-09-15,249.95
2017-09-18,253.7875
2017-09-19,255.17
2017-09-20,256.6924
2017-09-21,256.99
2017-09-22,259.3
2017-09-25,256.97
2017-09-26,256.48
2017-09-27,258.77
2017-09-28,255.8
2017-09-29,255.26
2017-10-02,255.99
2017-10-03,258.26
2017-10-04,257.13
2017-10-05,258.99
2017-10-06,258.9018
2017-10-09,259.0
2017-10-10,261.06
2017-10-11,261.65
2017-10-12,262.98
2017-10-13,263.79
2017-10-16,262.0
2017-10-17,259.05
2017-10-18,260.73
2017-10-19,259.1
2017-10-20,264.8272
2017-10-23,265.98
2017-10-24,267.21
2017-10-25,266.0
2017-10-26,261.44
2017-10-27,259.4994
2017-10-30,260.41
2017-10-31,259.93
2017-11-01,259.41
2017-11-02,263.24
2017-11-03,263.79
2017-11-06,265.84
2017-11-07,267.28
2017-11-09,266.75
2017-11-10,262.5
2017-11-13,263.36
2017-11-14,262.4
2017-11-15,264.77
2017-11-16,265.04
2017-11-17,263.74
2017-11-20,265.6189
2017-11-21,267.0
2017-11-22,267.48
2017-11-24,266.57
2017-11-27,266.84
2017-11-28,268.01
2017-11-29,269.6807
2017-11-30,277.04
2017-12-01,278.73
2017-12-04,281.83
2017-12-05,279.44
2017-12-06,279.14
2017-12-07,284.79
2017-12-08,287.32
2017-12-11,286.49
2017-12-12,292.8
2017-12-13,295.85
2017-12-14,296.82
2017-12-15,297.37
2017-12-18,297.14
2017-12-19,297.58
2017-12-20,299.33
2017-12-21,298.3852
2017-12-22,296.52
2017-12-26,297.44
2017-12-27,296.8
2017-12-28,296.99
2017-12-29,297.3
