date,high
2017-01-03,36.93
2017-01-04,36.77
2017-01-05,36.72
2017-01-06,36.68
2017-01-09,36.885
2017-01-10,36.93
2017-01-11,37.0
2017-01-12,36.83
2017-01-13,36.86
2017-01-17,36.83
2017-01-18,37.01
2017-01-19,36.91
2017-01-20,37.03
2017-01-23,37.21
2017-01-24,37.74
2017-01-25,38.0
2017-01-26,37.925
2017-01-27,38.45
2017-01-30,37.84
2017-01-31,37.37
2017-02-01,36.95
2017-02-02,36.7
2017-02-03,36.82
2017-02-06,36.51
2017-02-07,36.52
2017-02-08,36.65
2017-02-09,36.5
2017-02-10,35.43
2017-02-13,35.85
2017-02-14,35.96
2017-02-15,36.06
2017-02-16,36.56
2017-02-17,36.48
2017-02-21,36.65
2017-02-22,36.3964
2017-02-23,36.3
2017-02-24,36.53
2017-02-27,36.68
2017-02-28,36.46
2017-03-01,36.1
2017-03-02,36.02
2017-03-03,36.085
2017-03-06,35.8
2017-03-07,35.8
2017-03-08,35.9
2017-03-09,35.94
2017-03-10,36.295
2017-03-13,36.04
2017-03-14,35.23
2017-03-15,35.17
2017-03-16,35.36
2017-03-17,35.33
2017-03-20,35.63
2017-03-21,35.6
2017-03-22,35.46
2017-03-23,35.49
2017-03-24,35.73
2017-03-27,35.5
2017-03-28,35.71
2017-03-29,35.7
2017-03-30,35.89
2017-03-31,36.25
2017-04-03,36.74
2017-04-04,36.375
2017-04-05,36.76
2017-04-06,36.285
2017-04-07,36.32
2017-04-10,36.09
2017-04-11,35.79
2017-04-12,36.01
2017-04-13,35.76
2017-04-17,35.59
2017-04-18,35.81
2017-04-19,36.22
2017-04-20,36.2653
2017-04-21,36.42
2017-04-24,36.85
2017-04-25,37.0
2017-04-26,37.23
2017-04-27,37.5
2017-04-28,36.485
2017-05-01,36.4
2017-05-02,37.03
2017-05-03,37.17
2017-05-04,37.11
2017-05-05,36.93
2017-05-08,36.85
2017-05-09,36.75
2017-05-10,36.38
2017-05-11,36.0
2017-05-12,35.74
2017-05-15,35.715
2017-05-16,35.89
2017-05-17,35.9896
2017-05-18,35.47
2017-05-19,35.55
2017-05-22,36.11
2017-05-23,35.99
2017-05-24,36.18
2017-05-25,36.39
2017-05-26,36.33
2017-05-30,36.44
2017-05-31,36.38
2017-06-01,36.13
2017-06-02,36.33
2017-06-05,36.5
2017-06-06,36.45
2017-06-07,36.57
2017-06-08,36.53
2017-06-09,36.56
2017-06-12,36.01
2017-06-13,35.95
2017-06-14,36.05
2017-06-15,35.48
2017-06-16,35.33
2017-06-19,35.61
2017-06-20,35.45
2017-06-21,34.6
2017-06-22,34.63
2017-06-23,34.55
2017-06-26,34.51
2017-06-27,34.145
2017-06-28,34.24
2017-06-29,34.1
2017-06-30,33.93
2017-07-03,34.03
2017-07-05,34.43
2017-07-06,34.29
2017-07-07,34.12
2017-07-10,33.74
2017-07-11,33.93
2017-07-12,34.39
2017-07-13,34.4
2017-07-14,34.71
2017-07-17,34.74
2017-07-18,34.58
2017-07-19,34.68
2017-07-20,34.84
2017-07-21,34.82
2017-07-24,34.8
2017-07-25,34.735
2017-07-26,34.97
2017-07-27,35.25
2017-07-28,35.86
2017-07-31,35.74
2017-08-01,36.43
2017-08-02,36.67
2017-08-03,36.59
2017-08-04,36.56
2017-08-07,36.63
2017-08-08,36.7
2017-08-09,36.66
2017-08-10,36.56
2017-08-11,36.4
2017-08-14,36.47
2017-08-15,36.32
2017-08-16,36.07
2017-08-17,35.68
2017-08-18,35.31
2017-08-21,35.28
2017-08-22,35.19
2017-08-23,34.81
2017-08-24,34.89
2017-08-25,34.93
2017-08-28,34.8
2017-08-29,34.75
2017-08-30,34.96
2017-08-31,35.18
2017-09-01,35.39
2017-09-05,35.33
2017-09-06,35.94
2017-09-07,35.95
2017-09-08,35.54
2017-09-11,36.0
2017-09-12,36.34
2017-09-13,36.4
2017-09-14,36.695
2017-09-15,37.08
2017-09-18,37.33
2017-09-19,37.295
2017-09-20,37.29
2017-09-21,37.27
2017-09-22,37.22
2017-09-25,37.23
2017-09-26,37.64
2017-09-27,37.69
2017-09-28,37.88
2017-09-29,38.15
2017-10-02,39.09
2017-10-03,39.7
2017-10-04,39.4
2017-10-05,39.65
2017-10-06,39.89
2017-10-09,39.88
2017-10-10,39.95
2017-10-11,39.67
2017-10-12,39.39
2017-10-13,39.81
2017-10-16,39.79
2017-10-17,39.865
2017-10-18,40.29
2017-10-19,40.33
2017-10-20,40.45
2017-10-23,41.04
2017-10-24,41.05
2017-10-25,41.055
2017-10-26,41.575
2017-10-27,45.0
2017-10-30,45.19
2017-10-31,45.8
2017-11-01,46.71
2017-11-02,47.23
2017-11-03,47.3
2017-11-06,46.74
2017-11-07,47.09
2017-11-09,46.39
2017-11-10,46.09
2017-11-13,45.94
2017-11-14,45.92
2017-11-15,45.805
2017-11-16,46.07
2017-11-17,45.62
2017-11-20,45.115
2017-11-21,45.22
2017-11-22,44.95
2017-11-24,44.775
2017-11-27,44.61
2017-11-28,44.84
2017-11-29,45.09
2017-11-30,45.2
2017-12-01,44.84
2017-12-04,45.3
2017-12-05,44.9
2017-12-06,43.72
2017-12-07,43.6
2017-12-08,43.58
2017-12-11,43.78
2017-12-12,43.62
2017-12-13,43.66
2017-12-14,43.57
2017-12-15,44.84
2017-12-18,46.35
2017-12-19,47.26
2017-12-20,47.64
2017-12-21,47.59
2017-12-22,47.02
2017-12-26,46.47
2017-12-27,46.36
2017-12-28,46.36
2017-12-29,46.49
